latitude,longitude,time,date,sound val,sound avg,sound pek
51.4981040954,0.0033649997,15:11:7,21/9/2017,26,31.39,353
51.4981117248,0.0033850002,15:11:8,21/9/2017,15,28.86,442
51.4981117248,0.0034016001,15:11:8,21/9/2017,13,29.05,365
51.4981193542,0.0034182999,15:11:10,21/9/2017,24,27.64,398
51.4981193542,0.0034350001,15:11:11,21/9/2017,13,27.94,420
51.4981269836,0.0034532999,15:11:12,21/9/2017,19,25.09,410
51.4981269836,0.0034700002,15:11:12,21/9/2017,15,28.23,398
51.4981346130,0.0034866001,15:11:14,21/9/2017,23,27.22,425
51.4981346130,0.0035050001,15:11:15,21/9/2017,15,27.13,418
51.4981460571,0.0035200002,15:11:16,21/9/2017,25,28.86,369
51.4981536865,0.0035366001,15:11:16,21/9/2017,26,32.89,427
51.4981536865,0.0035550000,15:11:18,21/9/2017,16,29.07,377
51.4981613159,0.0035715999,15:11:19,21/9/2017,35,30.76,394
51.4981689453,0.0035899999,15:11:20,21/9/2017,12,28.44,384
51.4981765747,0.0036065998,15:11:20,21/9/2017,39,26.79,402
51.4981842041,0.0036233000,15:11:22,21/9/2017,14,27.73,420
51.4981842041,0.0036400003,15:11:23,21/9/2017,21,28.27,365
51.4981918334,0.0036565999,15:11:24,21/9/2017,27,26.08,412
51.4982032775,0.0036750001,15:11:24,21/9/2017,17,27.10,404
51.4982109069,0.0036915998,15:11:26,21/9/2017,23,31.18,431
51.4982185363,0.0037016005,15:11:27,21/9/2017,17,25.07,372
51.4982261657,0.0037133002,15:11:28,21/9/2017,19,24.82,358
51.4982337951,0.0037266001,15:11:28,21/9/2017,14,25.83,429
51.4982414245,0.0037383003,15:11:30,21/9/2017,19,26.33,441
51.4982490539,0.0037483003,15:11:31,21/9/2017,19,22.50,406
