latitude,longitude,time,date,light,temperature,people,people cumulative
51.5004234313,0.0062866001,10:13:25,25/9/2017,26,32.03,1,52
51.5004081726,0.0063116006,10:13:26,25/9/2017,24,29.10,1,53
51.5004081726,0.0063116006,10:13:26,25/9/2017,25,32.03,0,53
51.5003814697,0.0063233003,10:13:27,25/9/2017,24,29.10,0,53
51.5003814697,0.0063233003,10:13:27,25/9/2017,25,32.03,0,53
51.5003662109,0.0063450007,10:13:28,25/9/2017,23,29.10,0,53
51.5003662109,0.0063450007,10:13:28,25/9/2017,25,32.03,0,53
51.5003509521,0.0063600006,10:13:29,25/9/2017,27,29.10,0,53
51.5003509521,0.0063600006,10:13:29,25/9/2017,28,31.54,0,53
51.5003242492,0.0063666000,10:13:30,25/9/2017,27,29.10,0,53
51.5003242492,0.0063666000,10:13:30,25/9/2017,28,31.54,0,53
51.5003089904,0.0063800001,10:13:31,25/9/2017,27,29.10,0,53
51.5003089904,0.0063800001,10:13:31,25/9/2017,28,31.54,0,53
51.5002937316,0.0063950004,10:13:32,25/9/2017,26,29.10,0,53
51.5002937316,0.0063950004,10:13:32,25/9/2017,26,31.54,0,53
51.5002670288,0.0064015998,10:13:33,25/9/2017,24,29.10,0,53
51.5002670288,0.0064015998,10:13:33,25/9/2017,25,31.54,0,53
51.5002593994,0.0064116001,10:13:34,25/9/2017,24,29.10,0,53
51.5002593994,0.0064116001,10:13:34,25/9/2017,24,31.54,0,53
51.5002365112,0.0064200010,10:13:35,25/9/2017,24,29.10,0,53
51.5002365112,0.0064200010,10:13:35,25/9/2017,25,31.54,0,53
51.5002288818,0.0064266004,10:13:36,25/9/2017,25,29.10,0,53
51.5002288818,0.0064266004,10:13:36,25/9/2017,25,31.54,0,53
51.5002098083,0.0064449996,10:13:37,25/9/2017,24,29.10,2,55
51.5002098083,0.0064449996,10:13:37,25/9/2017,24,31.54,0,55
51.5001945495,0.0064566001,10:13:38,25/9/2017,23,29.10,0,55
51.5001945495,0.0064566001,10:13:38,25/9/2017,24,31.54,0,55
51.5001792907,0.0064632997,10:13:39,25/9/2017,23,29.10,0,55
51.5001792907,0.0064632997,10:13:39,25/9/2017,24,32.03,0,55
51.5001640319,0.0064700007,10:13:40,25/9/2017,23,29.59,0,55
51.5001640319,0.0064700007,10:13:40,25/9/2017,24,32.52,0,55
51.5001449584,0.0064800000,10:13:41,25/9/2017,23,29.59,0,55
51.5001449584,0.0064800000,10:13:41,25/9/2017,24,32.03,0,55
51.5001296997,0.0064900007,10:13:42,25/9/2017,23,29.59,0,55
51.5001296997,0.0064900007,10:13:42,25/9/2017,24,32.03,0,55
51.5001144409,0.0065000000,10:13:43,25/9/2017,23,29.59,0,55
51.5001144409,0.0065000000,10:13:43,25/9/2017,23,32.03,0,55
51.5000991821,0.0065100002,10:13:44,25/9/2017,23,29.59,0,55
51.5000991821,0.0065100002,10:13:44,25/9/2017,24,32.03,0,55
51.5000877380,0.0065215997,10:13:45,25/9/2017,23,29.59,0,55
51.5000877380,0.0065215997,10:13:45,25/9/2017,24,32.03,0,55
51.5000724792,0.0065333008,10:13:46,25/9/2017,24,29.59,0,55
51.5000724792,0.0065333008,10:13:46,25/9/2017,24,32.52,0,55
51.5000572204,0.0065450005,10:13:47,25/9/2017,24,29.59,0,55
51.5000572204,0.0065450005,10:13:47,25/9/2017,24,32.03,0,55
51.5000495910,0.0065549998,10:13:48,25/9/2017,23,29.59,0,55
51.5000495910,0.0065549998,10:13:48,25/9/2017,24,32.03,0,55
51.5000343322,0.0065683002,10:13:49,25/9/2017,23,29.59,0,55
51.5000343322,0.0065683002,10:13:49,25/9/2017,24,32.03,0,55
51.5000228881,0.0065815997,10:13:50,25/9/2017,23,29.59,0,55
51.5000228881,0.0065815997,10:13:50,25/9/2017,23,32.03,0,55
51.5000076293,0.0065916004,10:13:51,25/9/2017,23,29.59,0,55
51.5000076293,0.0065916004,10:13:51,25/9/2017,23,32.03,0,55
51.5000000000,0.0066016006,10:13:52,25/9/2017,23,29.59,1,56
51.5000000000,0.0066016006,10:13:52,25/9/2017,24,32.03,0,56
51.4999847412,0.0066115999,10:13:53,25/9/2017,23,29.59,0,56
51.4999847412,0.0066115999,10:13:53,25/9/2017,23,32.03,0,56
51.4999771118,0.0066215996,10:13:54,25/9/2017,22,29.59,0,56
51.4999771118,0.0066215996,10:13:54,25/9/2017,23,32.03,0,56
51.4999580383,0.0066316003,10:13:55,25/9/2017,23,30.57,0,56
51.4999580383,0.0066316003,10:13:55,25/9/2017,25,33.50,0,56
51.4999427795,0.0066433005,10:13:56,25/9/2017,23,29.59,1,57
51.4999427795,0.0066433005,10:13:56,25/9/2017,24,32.03,0,57
51.4999351501,0.0066483011,10:13:57,25/9/2017,22,29.59,0,57
51.4999351501,0.0066483011,10:13:57,25/9/2017,23,32.52,0,57
51.4999275207,0.0066599998,10:13:58,25/9/2017,22,29.10,0,57
51.4999275207,0.0066599998,10:13:58,25/9/2017,23,32.03,0,57
51.4999122619,0.0066716003,10:13:59,25/9/2017,22,29.59,0,57
51.4999122619,0.0066716003,10:13:59,25/9/2017,23,32.03,0,57
51.4998931884,0.0066799998,10:14:0,25/9/2017,22,29.10,0,57
51.4998931884,0.0066799998,10:14:0,25/9/2017,23,32.03,0,57
51.4998779296,0.0066915998,10:14:1,25/9/2017,24,30.57,0,57
51.4998779296,0.0066915998,10:14:1,25/9/2017,25,33.50,0,57
51.4998703002,0.0067066006,10:14:2,25/9/2017,24,30.57,0,57
51.4998703002,0.0067066006,10:14:2,25/9/2017,25,33.98,0,57
51.4998550415,0.0067199997,10:14:3,25/9/2017,23,31.05,0,57
51.4998550415,0.0067199997,10:14:3,25/9/2017,24,33.98,0,57
51.4998435974,0.0067332992,10:14:4,25/9/2017,23,31.54,1,58
51.4998435974,0.0067332992,10:14:4,25/9/2017,23,33.98,0,58
51.4998283386,0.0067465996,10:14:5,25/9/2017,22,31.05,0,58
51.4998283386,0.0067465996,10:14:5,25/9/2017,23,33.50,0,58
51.4998207092,0.0067583012,10:14:6,25/9/2017,23,31.05,0,58
51.4998207092,0.0067583012,10:14:6,25/9/2017,23,33.98,0,58
51.4998054504,0.0067700004,10:14:7,25/9/2017,23,31.05,0,58
51.4998054504,0.0067700004,10:14:7,25/9/2017,25,33.98,0,58
51.4997978210,0.0067832999,10:14:8,25/9/2017,23,31.05,0,58
51.4997978210,0.0067832999,10:14:8,25/9/2017,24,33.98,0,58
51.4997787475,0.0067965993,10:14:9,25/9/2017,23,31.05,2,60
51.4997787475,0.0067965993,10:14:9,25/9/2017,25,33.50,0,60
51.4997711181,0.0068100004,10:14:10,25/9/2017,24,31.05,0,60
51.4997711181,0.0068100004,10:14:10,25/9/2017,25,33.98,0,60
51.4997634887,0.0068215999,10:14:11,25/9/2017,26,31.05,0,60
51.4997634887,0.0068215999,10:14:11,25/9/2017,26,33.98,0,60
