latitude,longitude,time,date,people,cumulative people
51.5048599243,0.0036283001,13:52:12,24/2/2016,0,8
51.5048675537,0.0036100001,13:52:14,24/2/2016,0,8
51.5048675537,0.0035915999,13:52:15,24/2/2016,0,8
51.5048675537,0.0035715999,13:52:16,24/2/2016,0,8
51.5048675537,0.0035500001,13:52:16,24/2/2016,0,8
51.5048751831,0.0035316002,13:52:18,24/2/2016,0,8
51.5048751831,0.0035133001,13:52:19,24/2/2016,0,8
51.5048751831,0.0034965996,13:52:20,24/2/2016,0,8
51.5048751831,0.0034783003,13:52:20,24/2/2016,0,8
51.5048751831,0.0034600005,13:52:22,24/2/2016,0,8
51.5048751831,0.00344,13:52:23,24/2/2016,0,8
51.5048828125,0.0034216001,13:52:24,24/2/2016,0,8
51.5048828125,0.0034033,13:52:24,24/2/2016,0,8
51.5048828125,0.0033866002,13:52:26,24/2/2016,0,8
51.5048828125,0.0033700003,13:52:27,24/2/2016,0,8
51.5048904418,0.0033533003,13:52:28,24/2/2016,0,8
51.5048904418,0.0033382999,13:52:28,24/2/2016,0,8
51.5048828125,0.003325,13:52:30,24/2/2016,0,8
51.5048828125,0.0033150002,13:52:31,24/2/2016,0,8
51.5048828125,0.0033033001,13:52:32,24/2/2016,0,8
51.5048751831,0.0032900002,13:52:32,24/2/2016,0,8
51.5048751831,0.0032766003,13:52:34,24/2/2016,0,8
51.5048751831,0.0032632999,13:52:35,24/2/2016,0,8
51.5048751831,0.0032483,13:52:36,24/2/2016,0,8
51.5048751831,0.0032316002,13:52:36,24/2/2016,0,8
51.5048828125,0.0032133002,13:52:38,24/2/2016,0,8
51.5048751831,0.0031949999,13:52:39,24/2/2016,0,8
51.5048751831,0.0031749999,13:52:40,24/2/2016,0,8
51.5048828125,0.0031550002,13:52:40,24/2/2016,0,8
51.5048828125,0.0031333003,13:52:42,24/2/2016,0,8
51.5048828125,0.0031150002,13:52:43,24/2/2016,0,8
51.5048828125,0.0030999999,13:52:44,24/2/2016,0,8
51.5048828125,0.003085,13:52:44,24/2/2016,0,8
51.5048828125,0.0030665998,13:52:46,24/2/2016,0,8
51.5048904418,0.0030433001,13:52:47,24/2/2016,0,8
51.5048980712,0.0030233001,13:52:48,24/2/2016,0,8
51.5048980712,0.0030033001,13:52:48,24/2/2016,0,8
51.5049057006,0.0029833002,13:52:50,24/2/2016,0,8
51.5049057006,0.0029666004,13:52:51,24/2/2016,0,8
51.5049057006,0.0029482998,13:52:52,24/2/2016,0,8
51.5049057006,0.0029300001,13:52:52,24/2/2016,0,8
51.5049057006,0.0029116001,13:52:54,24/2/2016,0,8
51.5049057006,0.0028900001,13:52:55,24/2/2016,0,8
51.5049057006,0.0028716001,13:52:56,24/2/2016,0,8
51.5049057006,0.0028516001,13:52:56,24/2/2016,0,8
51.5049057006,0.0028333001,13:52:58,24/2/2016,0,8
51.5049057006,0.0028132999,13:52:59,24/2/2016,0,8
51.5049057006,0.002795,13:53:0,24/2/2016,0,8
51.5049057006,0.0027716002,13:53:0,24/2/2016,0,8
51.5049057006,0.0027533001,13:53:2,24/2/2016,0,8
51.5049057006,0.0027333002,13:53:3,24/2/2016,0,8
